Latest available block is #14965570 (timestamp: 2022-06-14 21:18:29).
0x932b9c04d40d2ac83083d94298169dae81ab2ed0 genesis account amount matches current amount (2000.00 eth)
0x3f30d3bc9f602232bc724288ca46cd0b0788f715 genesis account amount matches current amount (4000.00 eth)
0x2eebf59432b52892f9380bd140aa99dcf8ad0c0f genesis account amount matches current amount (152.00 eth)
0xf5b068989df29c253577d0405ade6e0e7528f89e genesis account amount matches current amount (1610.00 eth)
0xdc29119745d2337320da51e19100c948d980b915 genesis account amount matches current amount (160.00 eth)
0x55da9dcdca61cbfe1f133c7bcefc867b9c8122f9 genesis account amount matches current amount (880.00 eth)
0xfc02734033e57f70517e0afc7ee62461f06fad8e genesis account amount matches current amount (394.00 eth)
0x0a9804137803ba6868d93a55f9985fcd540451e4 genesis account amount matches current amount (13.37 eth)
0x455396a4bbd9bae8af9fb7c4d64d471db9c24505 genesis account amount matches current amount (161.00 eth)
0x66925de3e43f4b41bf9dadde27d5488ef569ea0d genesis account amount matches current amount (39.40 eth)
0xb7c077946674ba9341fb4c747a5d50f5d2da6415 genesis account amount matches current amount (1000.00 eth)
0xc52d1a0c73c2a1be84915185f8b34faa0adf1de3 genesis account amount matches current amount (1400.00 eth)
0x2a742b8910941e0932830a1d9692cfd28494cf40 genesis account amount matches current amount (499.99 eth)
0x1aa27699cada8dc3a76f7933aa66c71919040e88 genesis account amount matches current amount (400.00 eth)
0x369822f5578b40dd1f4471706b22cd971352da6b genesis account amount matches current amount (346.00 eth)
0xd781f7fc09184611568570b4986e2c72872b7ed0 genesis account amount matches current amount (20.00 eth)
0xde176b5284bcee3a838ba24f67fc7cbf67d78ef6 genesis account amount matches current amount (37.60 eth)
0x23120046f6832102a752a76656691c863e17e59c genesis account amount matches current amount (329.80 eth)
0xf0d64cf9df09741133d170485fd24b005011d520 genesis account amount matches current amount (498.68 eth)
0xbc69a0d2a31c3dbf7a9122116901b2bdfe9802a0 genesis account amount matches current amount (3000.00 eth)
0x264cc8086a8710f91b21720905912cd7964ae868 genesis account amount matches current amount (26.74 eth)
0xc1ffad07db96138c4b2a530ec1c7de29b8a0592c genesis account amount matches current amount (17.60 eth)
0xdcf6b657266e91a4dae6033ddac15332dd8d2b34 genesis account amount matches current amount (1760.00 eth)
0xb2d9ab9664bcf6df203c346fc692fd9cbab9205e genesis account amount matches current amount (438.00 eth)
0x6a7c252042e7468a3ff773d6450bba85efa26391 genesis account amount matches current amount (500.00 eth)
0xed31305c319f9273d3936d8f5b2f71e9b1b22963 genesis account amount matches current amount (100.00 eth)
0x49ddee902e1d0c99d1b11af3cc8a96f78e4dcf1a genesis account amount matches current amount (199.36 eth)
0xc88eec54d305c928cc2848c2fee23531acb96d49 genesis account amount matches current amount (1999.95 eth)
0x79ffb4ac13812a0b78c4a37b8275223e176bfda5 genesis account amount matches current amount (17.30 eth)
0x43e7ec846358d7d0f937ad1c350ba069d7bf72bf genesis account amount matches current amount (118.80 eth)
0x163bad4a122b457d64e8150a413eae4d07023e6b genesis account amount matches current amount (18.80 eth)
0x69c94e07c4a9be3384d95dfa3cb9290051873b7b genesis account amount matches current amount (70.00 eth)
0xc06cebbbf7f5149a66f7eb976b3e47d56516da2f genesis account amount matches current amount (2000.00 eth)
0x29eb7eefdae9feb449c63ff5f279d67510eb1422 genesis account amount matches current amount (19.40 eth)
0xc4681e73bb0e32f6b726204831ff69baa4877e32 genesis account amount matches current amount (1820.00 eth)
0xd0b11d6f2bce945e0c6a5020c3b52753f803f9d1 genesis account amount matches current amount (200.00 eth)
0xfb8113f94d9173eefd5a3073f516803a10b286ae genesis account amount matches current amount (80.00 eth)
0x066647cfc85d23d37605573d208ca154b244d76c genesis account amount matches current amount (10000.00 eth)
0x854691ce714f325ced55ce5928ce9ba12facd1b8 genesis account amount matches current amount (4380.00 eth)
0x3d3fad49c9e5d2759c8e8e5a7a4d60a0dd135692 genesis account amount matches current amount (20.00 eth)
0x2c6f5c124cc789f8bb398e3f889751bc4b602d9e genesis account amount matches current amount (24.93 eth)
0x72b05962fb2ad589d65ad16a22559eba1458f387 genesis account amount matches current amount (133.70 eth)
0x008639dabbe3aeac887b5dc0e43e13bcd287d76c genesis account amount matches current amount (310.20 eth)
